section,type,geo_level,country,state,year,quarter,period,source_path,category,count,amount,brand,registeredUsers,appOpens,brand_count,brand_percentage
aggregated,user,country,india,,2021,4,2021-Q4,data/aggregated/user/country/india/2021/4.json,,,,Realme,,,28686022.0,0.08168899659371726
aggregated,user,country,india,,2021,4,2021-Q4,data/aggregated/user/country/india/2021/4.json,,,,Samsung,,,63618499.0,0.18116598209777587
aggregated,user,country,india,,2021,4,2021-Q4,data/aggregated/user/country/india/2021/4.json,,,,Tecno,,,3799428.0,0.01081960618136854
aggregated,user,country,india,,2021,4,2021-Q4,data/aggregated/user/country/india/2021/4.json,,,,Vivo,,,71483071.0,0.20356187216991778
aggregated,user,country,india,,2021,4,2021-Q4,data/aggregated/user/country/india/2021/4.json,,,,Xiaomi,,,84820436.0,0.2415425989522567
aggregated,user,country,india,,2021,4,2021-Q4,data/aggregated/user/country/india/2021/4.json,,,,,351161395.0,15172529039.0,,
aggregated,user,country,india,,2022,1,2022-Q1,data/aggregated/user/country/india/2022/1.json,,,,Apple,,,10780434.0,0.028905700693556857
aggregated,user,country,india,,2022,1,2022-Q1,data/aggregated/user/country/india/2022/1.json,,,,Huawei,,,4882972.0,0.013092768540396307
aggregated,user,country,india,,2022,1,2022-Q1,data/aggregated/user/country/india/2022/1.json,,,,Motorola,,,5610140.0,0.015042532396093801
aggregated,user,country,india,,2022,1,2022-Q1,data/aggregated/user/country/india/2022/1.json,,,,OnePlus,,,7974546.0,0.021382241182776228
aggregated,user,country,india,,2022,1,2022-Q1,data/aggregated/user/country/india/2022/1.json,,,,Oppo,,,49093857.0,0.13163591895597906
aggregated,user,country,india,,2022,1,2022-Q1,data/aggregated/user/country/india/2022/1.json,,,,Others,,,25835848.0,0.06927395404046159
